term	arousal
nerve wrecking	0.396
self righteous	0.396
national league	0.396
warp speed	0.396
brain injury	0.396
smoking gun	0.396
presidential election	0.394
police work	0.394
political economy	0.394
action movie	0.394
economic growth	0.394
kick myself	0.394
human trafficking	0.394
keynote speaker	0.394
big shot	0.394
ice storm	0.392
mass hysteria	0.390
domestic violence	0.390
wild horses	0.390
survival horror	0.390
freaked out	0.390
hot spot	0.390
rocket ship	0.390
shoot for	0.390
electric chair	0.390
car alarm	0.388
armed robbery	0.388
tourist attraction	0.388
energy consumption	0.388
air traffic	0.388
fly high	0.388
bite me	0.388
military service	0.386
political movement	0.386
run on	0.386
global economy	0.386
fight for	0.386
franchise player	0.386
special forces	0.384
marching orders	0.384
paradigm shift	0.384
fight with	0.384
training camp	0.384
train wreck	0.384
softball game	0.384
commit suicide	0.384
devil's advocate	0.384
sports bar	0.382
insider trading	0.382
gut instinct	0.382
heart rate	0.382
roller coaster	0.380
space exploration	0.380
angry mob	0.380
health hazard	0.380
smoke alarm	0.380
burst out	0.380
stir crazy	0.380
representative democracy	0.380
sexual tension	0.380
hell bent	0.378
personality disorder	0.378
road runner	0.378
pilot program	0.378
chain reaction	0.378
straight games	0.378
rock climbing	0.378
community service	0.378
senate race	0.376
have influence	0.376
sex education	0.376
power source	0.376
sonic boom	0.376
war crime	0.376
pure evil	0.376
bipolar disorder	0.376
on high	0.376
nerve racking	0.376
crystal meth	0.376
blood test	0.376
fire escape	0.376
general strike	0.376
high temperature	0.376
mind blowing	0.374
lightning strike	0.374
standing ovation	0.374
offensive zone	0.372
corporate welfare	0.372
winning streak	0.372
foul play	0.372
very loudly	0.372
impressed with	0.370
boot camp	0.370
drag race	0.370
get burned	0.370
nerve wracking	0.370
drug addict	0.370
blood bath	0.370
martial arts	0.368
on acid	0.368
reckless driving	0.368
risk taker	0.366
growing pains	0.366
metropolitan area	0.366
national security	0.366
criminal record	0.366
fire alarm	0.366
string together	0.366
race car	0.366
running mate	0.366
kick start	0.366
crime rate	0.366
race track	0.366
tribal chief	0.366
boot up	0.366
reverse racism	0.366
genetically modified	0.366
red army	0.364
service provider	0.364
colon cancer	0.364
space flight	0.364
road game	0.364
car chase	0.362
breeding ground	0.362
bumper cars	0.362
gold digger	0.362
well defined	0.360
dance music	0.360
bang out	0.360
win over	0.360
blood pressure	0.360
run against	0.360
free expression	0.360
plastic surgery	0.360
think big	0.360
cast away	0.360
bachelorette party	0.360
collective bargaining	0.360
crisis management	0.360
heart disease	0.359
life force	0.358
bragging rights	0.358
creative thinking	0.358
high pressure	0.358
international relations	0.358
very fast	0.358
sports day	0.358
gang bang	0.358
macho man	0.358
restraining order	0.358
basketball player	0.358
web developer	0.358
people skills	0.358
boiling hot	0.354
go overboard	0.354
play dirty	0.354
big band	0.354
smear campaign	0.354
come alive	0.354
world cup	0.354
defense team	0.354
quick check	0.354
infectious disease	0.354
huge impact	0.354
home invasion	0.352
task force	0.352
lung cancer	0.350
high maintenance	0.350
go wild	0.350
heavy machinery	0.350
police academy	0.350
war hero	0.350
success story	0.350
rocket scientist	0.350
assistant director	0.350
final destination	0.350
high ground	0.350
speak volumes	0.348
gun control	0.348
break in	0.348
spending money	0.348
airline industry	0.348
head game	0.348
thought police	0.348
match fixing	0.348
freak out	0.348
scavenger hunt	0.348
hard day	0.348
soccer team	0.346
plastic surgeon	0.346
global warming	0.344
taking control	0.344
world war	0.344
wake-up call	0.344
power generation	0.344
internal combustion	0.344
best player	0.344
under construction	0.344
win big	0.344
power ranger	0.344
push forward	0.344
large groups	0.344
professional development	0.342
come first	0.342
gravitate to	0.340
hard evidence	0.340
shoot up	0.338
rising star	0.338
fire fighter	0.338
fast pace	0.338
open fire	0.338
basketball season	0.338
force field	0.338
reach into	0.338
huge success	0.338
obstacle course	0.338
air force	0.338
soccer game	0.338
extreme sport	0.338
quality assurance	0.338
political hack	0.338
bloody nose	0.338
drunk driver	0.338
campaign manager	0.336
press secretary	0.336
work load	0.336
waste management	0.336
double decker	0.334
baseball season	0.334
homo sapiens	0.334
control panel	0.334
scare tactics	0.334
world economy	0.334
sky diving	0.334
power trip	0.334
high gear	0.334
boxing gloves	0.334
pirate ship	0.334
salvation army	0.334
economic crisis	0.334
news flash	0.334
drinking problem	0.334
good job	0.334
metal detector	0.334
fight over	0.334
criminal offense	0.334
fast break	0.334
head injury	0.334
trickle down	0.334
build up	0.334
battle royal	0.334
acting up	0.334
stomach flu	0.334
race card	0.334
sucker punch	0.334
pole dancing	0.334
public speaking	0.334
loud mouth	0.334
hot sauce	0.333
beat it	0.330
hot chicken	0.330
detective work	0.330
full strength	0.328
hit man	0.328
target practice	0.328
do drugs	0.328
press conference	0.328
service industry	0.328
academy awards	0.328
starting pitcher	0.328
tragic death	0.328
basketball team	0.328
prime time	0.328
crying wolf	0.328
pilot project	0.328
heart wrenching	0.328
live performance	0.328
freak show	0.328
technical analysis	0.328
white supremacy	0.328
play football	0.328
high frequency	0.328
fired up	0.328
social policy	0.328
body builder	0.328
goddamn it	0.328
software developer	0.328
run along	0.328
pop star	0.326
grand theft auto	0.326
responsible for	0.326
moderate surprise	0.326
self confidence	0.326
basketball league	0.326
tough decision	0.326
hard stuff	0.324
rack up	0.324
ponzi scheme	0.324
jump ball	0.324
girl power	0.324
booster shot	0.324
war room	0.324
get attention	0.324
run up	0.324
run at	0.324
blood clotting	0.324
monetary value	0.324
football stadium	0.324
money machine	0.324
civil rights	0.324
panic buying	0.322
bright lights	0.322
action film	0.322
push notification	0.322
election fraud	0.322
fire up	0.322
outdoor game	0.322
gain control	0.322
social gathering	0.322
teenage years	0.322
market maker	0.322
exclamation mark	0.320
pep rally	0.320
electric slide	0.320
weight lifting	0.320
sexual preference	0.320
knock over	0.318
animated series	0.318
sports fan	0.318
dental surgery	0.318
big surprise	0.318
central government	0.318
defense mechanism	0.318
jump in	0.318
anal sex	0.318
death's door	0.318
mountain biking	0.318
musical instrument	0.318
raise hell	0.318
new blood	0.318
turning point	0.318
sexual harassment	0.318
interfere with	0.318
fast lane	0.318
high fidelity	0.316
push up	0.316
power structure	0.316
wedge issue	0.316
fire drill	0.316
butt naked	0.316
crack on	0.316
brain damage	0.314
polling station	0.314
piping hot	0.314
some disgust	0.314
strictly speaking	0.314
hockey team	0.314
marching band	0.314
video game	0.314
social networking	0.314
football field	0.314
spring training	0.314
electrical grid	0.314
vicious cycle	0.314
majority leader	0.312
substance abuse	0.312
high stakes	0.312
water pressure	0.312
amber alert	0.312
fist pump	0.312
mind reading	0.312
hot rod	0.312
public enemy	0.312
final exam	0.312
tipping point	0.312
relief pitcher	0.312
student teaching	0.310
tropical storm	0.310
work over	0.310
guilt trip	0.310
point guard	0.310
making love	0.310
football league	0.310
martial law	0.308
brain surgery	0.308
wild pitch	0.308
rush hour	0.308
hurricane season	0.308
soldier on	0.308
under fire	0.308
meteor shower	0.308
eye opener	0.308
bb gun	0.308
cosmetic surgery	0.308
like crazy	0.306
moving company	0.306
gold medalist	0.306
burn through	0.306
jump off	0.306
quick trip	0.306
screw this	0.306
wild man	0.306
firing off	0.306
power point	0.306
grand finale	0.306
copyright infringement	0.306
critical thinking	0.306
body guard	0.304
disco ball	0.304
active list	0.304
busy work	0.304
tap dance	0.304
coughing up	0.304
run deep	0.304
first appearance	0.304
messed up	0.304
digging up	0.302
hurry up	0.302
bloody hell	0.302
sports team	0.302
bachelor party	0.302
attention span	0.302
conservative party	0.302
pay tribute	0.302
a sport	0.302
keep away	0.302
health department	0.300
civil disobedience	0.300
mass production	0.300
like lightning	0.300
domino effect	0.300
hard work	0.300
academy award	0.300
ghost story	0.300
high pitch	0.300
customer services	0.300
punk rock	0.300
double trouble	0.300
in demand	0.300
high risk	0.300
wake up	0.300
will power	0.300
herd mentality	0.300
googly eyes	0.300
making waves	0.300
cry wolf	0.298
train station	0.298
blow out	0.298
attention seeker	0.298
party to	0.298
pop over	0.298
shock value	0.298
space race	0.298
political system	0.298
hockey game	0.298
great minds	0.296
congressional district	0.296
crazy for	0.296
class struggle	0.296
holy ghost	0.296
go crazy	0.296
holy smokes	0.296
mind boggling	0.296
give power	0.296
arms race	0.296
on steroids	0.296
wage increase	0.296
premier league	0.296
constructive criticism	0.296
bubonic plague	0.296
rage on	0.296
punch up	0.296
legal right	0.296
jet pack	0.294
child molester	0.294
frat boy	0.294
secret agent	0.294
turn around	0.294
drama series	0.294
sound system	0.294
risk factor	0.294
executive privilege	0.294
field goal	0.294
guard against	0.294
gamble on	0.292
smash hit	0.292
heavy rain	0.292
criminal negligence	0.292
take chances	0.292
quick break	0.292
technical support	0.292
going places	0.292
hazard pay	0.292
pumped up	0.292
force on	0.292
vice president	0.292
subway station	0.290
pissing contest	0.290
flying colors	0.290
general assembly	0.290
penalty kill	0.290
yell at	0.290
cutting edge	0.290
strike back	0.290
hunger strike	0.290
jump into	0.290
concentration camp	0.290
all-star game	0.288
proxy war	0.288
winter sports	0.288
fight off	0.288
cocktail party	0.288
party down	0.288
power broker	0.288
sporting event	0.288
security clearance	0.288
speed dial	0.288
grand theft	0.288
pay up	0.288
go mad	0.288
election campaign	0.288
foreign exchange	0.286
like wildfire	0.286
mental energy	0.286
take risk	0.286
identity theft	0.286
have confidence	0.286
under pressure	0.286
fought with	0.286
affirmative action	0.286
march madness	0.286
bump into	0.286
skating rink	0.286
tennis player	0.286
criminal law	0.286
moral victory	0.286
show business	0.284
choke hold	0.284
earth shattering	0.284
soccer player	0.284
rapid growth	0.284
jump ship	0.284
problem solver	0.284
toughen up	0.284
blood money	0.284
hit at	0.284
jump up	0.284
information technology	0.284
communicable disease	0.284
black magic	0.284
venture capital	0.284
immune response	0.284
muster up	0.284
gay marriage	0.284
treasure island	0.284
heart breaking	0.284
developing country	0.284
hack into	0.284
day trading	0.284
get treatment	0.284
screw you	0.284
bad boy	0.284
software architect	0.284
laughing stock	0.284
organic chemistry	0.282
nicotine addiction	0.282
screw it	0.282
force feed	0.282
strong evidence	0.282
steam ahead	0.282
key player	0.282
offensive line	0.282
prison break	0.282
rallying cry	0.282
heated up	0.282
alarm clock	0.281
republican party	0.280
connecting flight	0.280
cage match	0.280
great success	0.280
surprise surprise	0.280
plot twist	0.280
greatly negative	0.280
black power	0.280
electric guitar	0.278
crazy about	0.278
light show	0.278
ball player	0.278
marine corps	0.278
visiting team	0.278
press on	0.278
get mad	0.276
stanley cup	0.276
vast majority	0.276
game show	0.276
plane crash	0.276
shaken up	0.276
taking advantage	0.276
shell game	0.276
drug abuse	0.276
kidney failure	0.276
penalty kick	0.276
press coverage	0.276
strip club	0.276
shoot down	0.276
bulletproof vest	0.276
operating system	0.276
huge problem	0.276
price gouging	0.276
goose bumps	0.276
power play	0.276
viral load	0.276
hot topic	0.276
highly recommend	0.276
pick off	0.276
throw on	0.276
basic training	0.276
garbage collection	0.274
pop culture	0.274
spew out	0.274
fun ride	0.274
road rage	0.274
role playing	0.274
gag reflex	0.274
business analyst	0.274
bright spot	0.274
customer satisfaction	0.274
mixed feelings	0.274
heavy metal	0.273
short circuit	0.272
public service	0.272
electric company	0.272
working person	0.272
high tide	0.272
performance art	0.272
fast car	0.272
big deal	0.272
international flight	0.272
rescue dog	0.272
shuttle bus	0.272
food poisoning	0.272
drive around	0.272
bang up	0.272
sports center	0.272
strong feelings	0.272
front row	0.272
death row	0.272
social problems	0.272
social engineering	0.272
divorce papers	0.272
breast cancer	0.270
american league	0.270
government agency	0.270
on target	0.270
new technology	0.270
wild turkey	0.270
went wild	0.270
speed up	0.270
federal reserve	0.270
fire service	0.270
capital gains	0.270
scientific research	0.270
football game	0.270
on horseback	0.270
business plan	0.270
transportation system	0.268
flash mob	0.268
trojan horse	0.268
professional football	0.268
sexual orientation	0.268
green snake	0.268
take responsibility	0.268
baseball player	0.268
business partner	0.268
travel abroad	0.268
science fiction	0.268
beat up	0.268
superior court	0.266
public debate	0.266
thrill to	0.266
match against	0.266
eye surgery	0.266
major league	0.266
ice skating	0.266
cross check	0.266
social events	0.266
all blacks	0.266
full throttle	0.266
trigger happy	0.266
judgement day	0.266
chief justice	0.266
breaking point	0.266
full on	0.266
news organization	0.266
social network	0.266
hip hop	0.265
important person	0.264
personal trainer	0.264
football team	0.264
quick one	0.264
beef up	0.264
mental breakdown	0.264
dirty word	0.264
rile up	0.264
command line	0.264
black belt	0.264
associate with	0.262
governor general	0.262
herd immunity	0.262
youth group	0.262
main character	0.262
viral infection	0.262
health services	0.262
performance review	0.262
hold power	0.262
bull market	0.262
go public	0.262
shot put	0.262
over again	0.262
genghis khan	0.262
argue with	0.262
bright future	0.262
beer garden	0.262
illegal alien	0.262
beat out	0.262
rocket science	0.262
work up	0.262
be active	0.262
prize money	0.262
powerpoint presentation	0.262
through traffic	0.260
police chief	0.260
manifest destiny	0.260
organized crime	0.260
under arrest	0.260
team leader	0.260
choked up	0.260
control freak	0.258
double check	0.258
force in	0.258
fear mongering	0.258
variety show	0.258
construction worker	0.258
sound effects	0.258
press corps	0.258
juiced up	0.258
double play	0.258
go against	0.258
strong sense	0.258
big issue	0.258
a smokescreen	0.258
pressure cooker	0.258
expansion pack	0.258
fly away	0.258
medical officer	0.258
group together	0.258
market research	0.258
urban sprawl	0.258
run by	0.256
take control	0.256
tread carefully	0.256
fly off	0.256
birthday party	0.254
tread on	0.254
march on	0.254
freezing rain	0.254
wrecking ball	0.254
riot gear	0.254
financial assistance	0.254
shake up	0.254
happy dance	0.254
free throws	0.254
greenhouse gas	0.254
double dipping	0.254
physical fitness	0.254
talk dirty	0.254
political leader	0.254
beach volleyball	0.254
run for	0.254
business day	0.254
driver's license	0.254
fire sale	0.254
double life	0.254
news conference	0.254
straight shooter	0.254
tough time	0.254
running game	0.254
get moving	0.254
nuclear energy	0.250
american eagle	0.250
rich countries	0.250
life changing	0.250
power couple	0.250
poetic justice	0.250
in power	0.250
spend on	0.250
necessary evil	0.250
kick in	0.250
big business	0.250
turned on	0.250
burned out	0.250
menstrual cycle	0.250
clean energy	0.250
opposition party	0.250
power line	0.250
bad guys	0.250
rock star	0.250
lead singer	0.250
clean sweep	0.250
business man	0.250
eminent domain	0.250
real impact	0.250
work shift	0.250
public trust	0.250
most importantly	0.250
for kicks	0.250
grand rapids	0.250
in jeopardy	0.250
football coach	0.250
come together	0.250
run with	0.250
cheer up	0.250
willful ignorance	0.250
broad daylight	0.248
listen for	0.246
go forward	0.246
deal breaker	0.246
media company	0.246
higher education	0.246
basketball coach	0.246
national guard	0.246
restorative justice	0.246
personal business	0.246
mind games	0.246
make contact	0.246
fast one	0.246
goodness gracious	0.246
morning glory	0.246
punch out	0.246
pyramid scheme	0.246
dictate to	0.246
horse race	0.246
play tennis	0.246
market share	0.246
perfect storm	0.246
running for	0.246
american football	0.246
drive by	0.246
tight race	0.246
crunch time	0.246
stockholm syndrome	0.246
change management	0.246
punch in	0.246
michelin star	0.246
talent show	0.246
straight ahead	0.246
health problem	0.246
crank up	0.246
god almighty	0.246
classic rock	0.244
open market	0.244
golden retriever	0.244
memory loss	0.244
vacation spot	0.244
false positive	0.244
jump rope	0.243
power house	0.242
high jump	0.242
video conferencing	0.242
spoiled brat	0.242
presidential campaign	0.242
war on	0.242
puzzle game	0.242
you win	0.242
role play	0.242
reverse psychology	0.242
film industry	0.242
video conference	0.242
top gear	0.242
star wars	0.242
natural disaster	0.242
homeland security	0.242
brass knuckles	0.242
buyer beware	0.242
child labour	0.242
legislative branch	0.242
take effect	0.242
account executive	0.242
penalty box	0.242
get screwed	0.242
iron man	0.242
be prepared	0.242
throw out	0.242
mountain lion	0.242
religious right	0.242
hockey league	0.242
bad behavior	0.242
stomach ache	0.242
tough situation	0.242
emergency brake	0.242
test for	0.242
full speed	0.242
playing field	0.240
trick question	0.240
top gun	0.240
huge number	0.238
sudden death	0.238
high bar	0.238
embark on	0.238
bounty hunter	0.238
hot pink	0.238
data mining	0.238
hard money	0.238
fire truck	0.238
high court	0.238
get busy	0.238
drug war	0.238
iron maiden	0.238
administrative assistant	0.238
insane asylum	0.238
high degree	0.238
news story	0.238
turn on	0.238
wound up	0.238
radio station	0.238
district attorney	0.238
chopping block	0.238
taking over	0.238
modus operandi	0.238
come again	0.238
jam session	0.238
hot hand	0.238
grizzly bear	0.238
inferiority complex	0.236
creative writing	0.236
mess with	0.236
dig for	0.236
project management	0.236
get ahead	0.236
physical appearance	0.236
big difference	0.236
high profile	0.236
nation state	0.236
on drugs	0.236
spinal tap	0.236
silver surfer	0.236
space shuttle	0.236
whip out	0.234
human rights	0.234
making fun	0.234
big stick	0.234
gang member	0.234
baseball team	0.234
forward looking	0.234
backwards compatible	0.234
anecdotal evidence	0.234
bringing up	0.234
well intentioned	0.234
evil twin	0.234
traffic control	0.234
jump down	0.234
lieutenant governor	0.234
fantasy world	0.234
moving forward	0.234
popular culture	0.234
increase in	0.232
huge mistake	0.232
operating room	0.232
binge watching	0.232
taco truck	0.232
creep in	0.232
full swing	0.230
market forces	0.230
communist party	0.230
spy on	0.230
up against	0.230
play baseball	0.230
firing range	0.230
alcoholic beverage	0.230
joy ride	0.230
insist on	0.230
clinical trial	0.230
chase after	0.230
hard worker	0.230
dig deep	0.230
pinch hit	0.230
constitutional law	0.230
throw down	0.230
testify to	0.230
league match	0.230
nobel prize	0.230
like hell	0.230
broken in	0.228
spark up	0.228
jump out	0.228
movie star	0.228
hit for	0.228
water gun	0.228
solar power	0.228
police car	0.228
goal line	0.228
selection committee	0.228
take action	0.228
get permission	0.228
hard core	0.228
in practice	0.228
living legend	0.228
driving school	0.226
cursed with	0.226
wine merchant	0.226
scream out	0.226
electoral college	0.226
added value	0.226
ride up	0.226
inside information	0.226
acting out	0.226
shift work	0.226
collective agreement	0.226
burst into	0.226
move it	0.226
multiple sclerosis	0.226
rocket fuel	0.226
customer relations	0.226
burn in	0.226
virtual world	0.226
beyond measure	0.226
stomp on	0.226
fire back	0.226
industrial revolution	0.226
sinking feeling	0.224
peer pressure	0.224
warning sign	0.224
auction house	0.224
labor market	0.224
speech impediment	0.224
leg work	0.224
public opinion	0.224
man alive	0.224
multiple choice	0.224
early warning	0.224
weight training	0.224
drag racing	0.224
slot machine	0.224
numbers game	0.224
surround sound	0.224
special effects	0.224
jump shot	0.224
space travel	0.224
fashion designer	0.224
rally around	0.222
trash talking	0.222
struggle on	0.222
strike zone	0.222
homeless shelter	0.222
intensive care	0.222
single handedly	0.222
cheer on	0.222
funny bone	0.222
center stage	0.222
market economy	0.222
combustion engine	0.222
overdo it	0.222
rock music	0.222
exit strategy	0.222
red delicious	0.222
wedding band	0.222
consistent with	0.222
public comment	0.222
freezing temperatures	0.220
first responder	0.220
prize winner	0.220
customer service	0.220
legal action	0.220
mad money	0.220
driving at	0.220
flip for	0.220
bear arms	0.220
personality test	0.220
full blown	0.220
cayenne pepper	0.220
fantasy baseball	0.220
set fire	0.220
white tiger	0.220
hot with	0.220
sound bite	0.220
special olympics	0.220
gut reaction	0.220
confidence level	0.220
chop up	0.218
cultural revolution	0.218
bone structure	0.218
stay hungry	0.218
driving test	0.218
moving on	0.218
narcissistic personality	0.218
ethnic group	0.218
product development	0.218
food drive	0.218
whooping cough	0.218
popular opinion	0.218
death rate	0.218
money maker	0.218
shoot out	0.218
wind speed	0.218
wedding reception	0.218
blood vessel	0.218
financial aid	0.218
reading group	0.218
miles away	0.218
guilty conscience	0.218
raising hell	0.216
tank engine	0.216
potty training	0.216
jump on	0.216
border patrol	0.216
double dutch	0.216
scheduled maintenance	0.216
judgment day	0.216
large scale	0.216
in labor	0.216
public officials	0.216
nose dive	0.216
skin cancer	0.216
financial gain	0.216
nurse practitioner	0.216
quantum mechanics	0.216
long run	0.216
revenue stream	0.216
pocket knife	0.216
problem child	0.216
worked up	0.216
research project	0.216
front runner	0.216
city manager	0.216
jerk chicken	0.216
open mic	0.216
grow back	0.216
growth rate	0.216
knocked up	0.216
on guard	0.216
play in	0.216
wild west	0.216
full tilt	0.216
labor movement	0.216
mission statement	0.216
take calls	0.216
run to	0.214
high street	0.214
conference call	0.214
speeding ticket	0.214
debate over	0.214
espresso machine	0.214
smarten up	0.214
die laughing	0.214
human society	0.214
ad campaign	0.214
big problem	0.214
mean business	0.214
death penalty	0.214
critical theory	0.214
engage in	0.214
yellow fever	0.214
high blood	0.214
heat exhaustion	0.214
birthday suit	0.214
hard sell	0.214
mountain bike	0.214
aim at	0.214
public relations	0.214
space program	0.214
market cap	0.214
running joke	0.214
reverse engineering	0.214
local government	0.214
spring break	0.212
black hole	0.212
shooting star	0.212
picket line	0.212
hate on	0.212
wedding planner	0.212
venture into	0.212
make profit	0.212
high places	0.212
energy crisis	0.212
dead right	0.212
feel compelled	0.212
running water	0.212
field work	0.212
opportunity cost	0.212
take risks	0.212
buying power	0.210
head for	0.210
business people	0.210
keep going	0.210
work ethic	0.210
animal rights	0.210
drive in	0.210
bump up	0.210
throw up	0.210
general election	0.210
american way	0.210
hot food	0.210
game one	0.210
garbage truck	0.210
unfinished business	0.210
incubation period	0.210
high fashion	0.210
data protection	0.208
triple play	0.208
working out	0.208
wind power	0.208
sentimental value	0.208
polling place	0.208
border crossing	0.208
mental illness	0.208
general admission	0.208
rush in	0.208
heads up	0.208
mad hatter	0.208
high point	0.208
regime change	0.208
trial run	0.206
water park	0.206
contact sport	0.206
throw you	0.206
stretch to	0.206
medical advice	0.206
starting point	0.206
wedding day	0.206
awake to	0.206
team spirit	0.206
hit out	0.206
double jeopardy	0.206
inauguration day	0.206
higher power	0.206
final result	0.206
blood red	0.206
up yours	0.206
solitary confinement	0.206
passing game	0.206
home improvement	0.206
full grown	0.206
party politics	0.206
inner strength	0.206
dash cam	0.206
bright light	0.206
heat up	0.206
executive branch	0.206
traffic lights	0.206
work nights	0.206
insider information	0.206
traffic jam	0.206
drive down	0.206
income tax	0.206
running back	0.206
wide receiver	0.206
improve on	0.206
mental disorder	0.204
growth spurt	0.204
public figure	0.204
hard feelings	0.204
change back	0.204
hockey player	0.204
cargo ship	0.204
prison cell	0.204
heisman trophy	0.204
basketball court	0.204
mean spirited	0.204
scientific studies	0.204
rich history	0.204
power cord	0.204
physical therapy	0.204
dance floor	0.204
oxygen tank	0.204
death spiral	0.204
build bridges	0.204
rap music	0.204
gravitate towards	0.204
